metric,condition,mean,sd,p50,p95,n,n_query_failed
jaccard_top10,A_vs_B,0.971106412966878,0.07567195403106011,,,43,
spearman,A_vs_B,0.9584787323590864,0.06587171893258878,,,43,
recall_at_10_A_vs_B,A_vs_B,0.983720930232558,0.04326129116658191,,,43,
jaccard_top10,B_vs_C,0.17515009330474807,0.14603689022832972,,,43,
latency_embed_ms,A,20.109007767439117,1.859952283389145,,,43,
latency_search_ms,A,130.0714108604785,19.76486462356917,,,43,
latency_total_ms,A,150.1804186279176,19.671365828199303,143.93762500003504,204.58990000020088,43,
latency_embed_ms,B,20.109007767439117,1.859952283389145,,,43,
latency_search_ms,B,89.92335272091094,5.803774724369097,,,43,
latency_total_ms,B,110.03236048835005,5.599730116260912,109.91783300005409,121.62537969984442,43,
latency_embed_ms,C,,,,,0,
latency_search_ms,C,947.0379186511182,137.23964929382586,,,43,
latency_total_ms,C,947.0379186511182,137.23964929382586,922.267875000216,1224.9855416000173,43,
llm_judge_relevance,A,1.2279069767441861,0.7293338342443243,,,215,0
llm_judge_relevance,B,1.2697674418604652,0.7310007491081636,,,215,0
llm_judge_relevance,C,1.013953488372093,0.7762783834860281,,,215,0
